X,Y,orbit_index,weight_num
250,400,0,16257963552
250,1428,0,16257963552
400,250,0,16257963552
400,1578,0,16257963552
1428,250,0,16257963552
1428,1578,0,16257963552
1578,400,0,16257963552
1578,1428,0,16257963552
300,400,5,94118889818
300,1428,5,94118889818
400,300,5,94118889818
400,1528,5,94118889818
1428,300,5,94118889818
1428,1528,5,94118889818
1528,400,5,94118889818
1528,1428,5,94118889818
350,400,8,145518809564
350,1428,8,145518809564
400,350,8,145518809564
400,1478,8,145518809564
1428,350,8,145518809564
1428,1478,8,145518809564
1478,400,8,145518809564
1478,1428,8,145518809564
400,400,16,148964427354
400,1428,16,148964427354
1428,400,16,148964427354
1428,1428,16,148964427354
750,750,36,9400180572
750,1078,36,9400180572
1078,750,36,9400180572
1078,1078,36,9400180572
750,800,37,12260377864
750,1028,37,12260377864
800,750,37,12260377864
800,1078,37,12260377864
1028,750,37,12260377864
1028,1078,37,12260377864
1078,800,37,12260377864
1078,1028,37,12260377864
225,400,56,24303313828
225,1428,56,24303313828
400,225,56,24303313828
400,1603,56,24303313828
1428,225,56,24303313828
1428,1603,56,24303313828
1603,400,56,24303313828
1603,1428,56,24303313828
775,800,61,7844634677
775,1028,61,7844634677
800,775,61,7844634677
800,1053,61,7844634677
1028,775,61,7844634677
1028,1053,61,7844634677
1053,800,61,7844634677
1053,1028,61,7844634677
400,775,62,14585333557
400,1053,62,14585333557
775,400,62,14585333557
775,1428,62,14585333557
1053,400,62,14585333557
1053,1428,62,14585333557
1428,775,62,14585333557
1428,1053,62,14585333557
375,800,63,86341160342
375,1028,63,86341160342
800,375,63,86341160342
800,1453,63,86341160342
1028,375,63,86341160342
1028,1453,63,86341160342
1453,800,63,86341160342
1453,1028,63,86341160342
400,575,99,20105012540
400,1253,99,20105012540
575,400,99,20105012540
575,1428,99,20105012540
1253,400,99,20105012540
1253,1428,99,20105012540
1428,575,99,20105012540
1428,1253,99,20105012540
400,790,2006,59177649223
400,1038,2006,59177649223
790,400,2006,59177649223
790,1428,2006,59177649223
1038,400,2006,59177649223
1038,1428,2006,59177649223
1428,790,2006,59177649223
1428,1038,2006,59177649223
680,685,4010,42986590872
680,1143,4010,42986590872
685,680,4010,42986590872
685,1148,4010,42986590872
1143,680,4010,42986590872
1143,1148,4010,42986590872
1148,685,4010,42986590872
1148,1143,4010,42986590872
630,725,5002,10654653069
630,1103,5002,10654653069
725,630,5002,10654653069
725,1198,5002,10654653069
1103,630,5002,10654653069
1103,1198,5002,10654653069
1198,725,5002,10654653069
1198,1103,5002,10654653069
400,660,5008,28785962214
400,1168,5008,28785962214
660,400,5008,28785962214
660,1428,5008,28785962214
1168,400,5008,28785962214
1168,1428,5008,28785962214
1428,660,5008,28785962214
1428,1168,5008,28785962214
390,400,6002,86341160342
390,1428,6002,86341160342
400,390,6002,86341160342
400,1438,6002,86341160342
1428,390,6002,86341160342
1428,1438,6002,86341160342
1438,400,6002,86341160342
1438,1428,6002,86341160342
395,760,6005,24303313828
395,1068,6005,24303313828
760,395,6005,24303313828
760,1433,6005,24303313828
1068,395,6005,24303313828
1068,1433,6005,24303313828
1433,760,6005,24303313828
1433,1068,6005,24303313828
365,655,6010,122871399432
365,1173,6010,122871399432
655,365,6010,122871399432
655,1463,6010,122871399432
1173,365,6010,122871399432
1173,1463,6010,122871399432
1463,655,6010,122871399432
1463,1173,6010,122871399432
730,800,6018,3228175891
730,1028,6018,3228175891
800,730,6018,3228175891
800,1098,6018,3228175891
1028,730,6018,3228175891
1028,1098,6018,3228175891
1098,800,6018,3228175891
1098,1028,6018,3228175891
715,905,6023,28785962214
715,923,6023,28785962214
905,715,6023,28785962214
905,1113,6023,28785962214
923,715,6023,28785962214
923,1113,6023,28785962214
1113,905,6023,28785962214
1113,923,6023,28785962214
275,400,6031,59177649223
275,1428,6031,59177649223
400,275,6031,59177649223
400,1553,6031,59177649223
1428,275,6031,59177649223
1428,1553,6031,59177649223
1553,400,6031,59177649223
1553,1428,6031,59177649223
285,795,6033,25641417824
285,1033,6033,25641417824
795,285,6033,25641417824
795,1543,6033,25641417824
1033,285,6033,25641417824
1033,1543,6033,25641417824
1543,795,6033,25641417824
1543,1033,6033,25641417824
320,770,6037,65617274704
320,1058,6037,65617274704
770,320,6037,65617274704
770,1508,6037,65617274704
1058,320,6037,65617274704
1058,1508,6037,65617274704
1508,770,6037,65617274704
1508,1058,6037,65617274704
325,790,6038,36095355292
325,1038,6038,36095355292
790,325,6038,36095355292
790,1503,6038,36095355292
1038,325,6038,36095355292
1038,1503,6038,36095355292
1503,790,6038,36095355292
1503,1038,6038,36095355292
400,765,7023,12260377864
400,1063,7023,12260377864
765,400,7023,12260377864
765,1428,7023,12260377864
1063,400,7023,12260377864
1063,1428,7023,12260377864
1428,765,7023,12260377864
1428,1063,7023,12260377864
360,635,7025,122871399432
360,1193,7025,122871399432
635,360,7025,122871399432
635,1468,7025,122871399432
1193,360,7025,122871399432
1193,1468,7025,122871399432
1468,635,7025,122871399432
1468,1193,7025,122871399432
400,630,7026,40427466979
400,1198,7026,40427466979
630,400,7026,40427466979
630,1428,7026,40427466979
1198,400,7026,40427466979
1198,1428,7026,40427466979
1428,630,7026,40427466979
1428,1198,7026,40427466979
775,785,7027,24169503428
775,1043,7027,24169503428
785,775,7027,24169503428
785,1053,7027,24169503428
1043,775,7027,24169503428
1043,1053,7027,24169503428
1053,785,7027,24169503428
1053,1043,7027,24169503428
235,800,7035,24303313828
235,1028,7035,24303313828
800,235,7035,24303313828
800,1593,7035,24303313828
1028,235,7035,24303313828
1028,1593,7035,24303313828
1593,800,7035,24303313828
1593,1028,7035,24303313828
640,720,7058,25875586023
640,1108,7058,25875586023
720,640,7058,25875586023
720,1188,7058,25875586023
1108,640,7058,25875586023
1108,1188,7058,25875586023
1188,720,7058,25875586023
1188,1108,7058,25875586023
675,775,7076,42501528173
675,1053,7076,42501528173
775,675,7076,42501528173
775,1153,7076,42501528173
1053,675,7076,42501528173
1053,1153,7076,42501528173
1153,775,7076,42501528173
1153,1053,7076,42501528173
335,565,7077,36831312490
335,1263,7077,36831312490
565,335,7077,36831312490
565,1493,7077,36831312490
1263,335,7077,36831312490
1263,1493,7077,36831312490
1493,565,7077,36831312490
1493,1263,7077,36831312490
770,910,7080,14970038456
770,918,7080,14970038456
910,770,7080,14970038456
910,1058,7080,14970038456
918,770,7080,14970038456
918,1058,7080,14970038456
1058,910,7080,14970038456
1058,918,7080,14970038456
370,670,7083,28785962214
370,1158,7083,28785962214
670,370,7083,28785962214
670,1458,7083,28785962214
1158,370,7083,28785962214
1158,1458,7083,28785962214
1458,670,7083,28785962214
1458,1158,7083,28785962214
765,890,7096,43689095469
765,938,7096,43689095469
890,765,7096,43689095469
890,1063,7096,43689095469
938,765,7096,43689095469
938,1063,7096,43689095469
1063,890,7096,43689095469
1063,938,7096,43689095469
690,765,7107,33302063201
690,1063,7107,33302063201
765,690,7107,33302063201
765,1138,7107,33302063201
1063,690,7107,33302063201
1063,1138,7107,33302063201
1138,765,7107,33302063201
1138,1063,7107,33302063201
385,790,7113,65617274704
385,1038,7113,65617274704
790,385,7113,65617274704
790,1443,7113,65617274704
1038,385,7113,65617274704
1038,1443,7113,65617274704
1443,790,7113,65617274704
1443,1038,7113,65617274704
755,780,7118,28785962214
755,1048,7118,28785962214
780,755,7118,28785962214
780,1073,7118,28785962214
1048,755,7118,28785962214
1048,1073,7118,28785962214
1073,780,7118,28785962214
1073,1048,7118,28785962214
395,740,7130,31428717606
395,1088,7130,31428717606
740,395,7130,31428717606
740,1433,7130,31428717606
1088,395,7130,31428717606
1088,1433,7130,31428717606
1433,740,7130,31428717606
1433,1088,7130,31428717606
140,790,7131,16257963552
140,1038,7131,16257963552
790,140,7131,16257963552
790,1688,7131,16257963552
1038,140,7131,16257963552
1038,1688,7131,16257963552
1688,790,7131,16257963552
1688,1038,7131,16257963552
385,710,7132,40427466979
385,1118,7132,40427466979
710,385,7132,40427466979
710,1443,7132,40427466979
1118,385,7132,40427466979
1118,1443,7132,40427466979
1443,710,7132,40427466979
1443,1118,7132,40427466979
515,730,7138,16257963552
515,1098,7138,16257963552
730,515,7138,16257963552
730,1313,7138,16257963552
1098,515,7138,16257963552
1098,1313,7138,16257963552
1313,730,7138,16257963552
1313,1098,7138,16257963552
370,680,7139,36831312490
370,1148,7139,36831312490
680,370,7139,36831312490
680,1458,7139,36831312490
1148,370,7139,36831312490
1148,1458,7139,36831312490
1458,680,7139,36831312490
1458,1148,7139,36831312490
395,890,7150,36530239091
395,938,7150,36530239091
890,395,7150,36530239091
890,1433,7150,36530239091
938,395,7150,36530239091
938,1433,7150,36530239091
1433,890,7150,36530239091
1433,938,7150,36530239091
695,790,7164,46014051163
695,1038,7164,46014051163
790,695,7164,46014051163
790,1133,7164,46014051163
1038,695,7164,46014051163
1038,1133,7164,46014051163
1133,790,7164,46014051163
1133,1038,7164,46014051163
630,760,7170,12678535362
630,1068,7170,12678535362
760,630,7170,12678535362
760,1198,7170,12678535362
1068,630,7170,12678535362
1068,1198,7170,12678535362
1198,760,7170,12678535362
1198,1068,7170,12678535362
575,760,7171,46214766762
575,1068,7171,46214766762
760,575,7171,46214766762
760,1253,7171,46214766762
1068,575,7171,46214766762
1068,1253,7171,46214766762
1253,760,7171,46214766762
1253,1068,7171,46214766762
335,800,7172,60833552918
335,1028,7172,60833552918
800,335,7172,60833552918
800,1493,7172,60833552918
1028,335,7172,60833552918
1028,1493,7172,60833552918
1493,800,7172,60833552918
1493,1028,7172,60833552918
595,745,7176,23232830631
595,1083,7176,23232830631
745,595,7176,23232830631
745,1233,7176,23232830631
1083,595,7176,23232830631
1083,1233,7176,23232830631
1233,745,7176,23232830631
1233,1083,7176,23232830631
660,760,7190,33536231400
660,1068,7190,33536231400
760,660,7190,33536231400
760,1168,7190,33536231400
1068,660,7190,33536231400
1068,1168,7190,33536231400
1168,760,7190,33536231400
1168,1068,7190,33536231400
565,730,7198,53289991641
565,1098,7198,53289991641
730,565,7198,53289991641
730,1263,7198,53289991641
1098,565,7198,53289991641
1098,1263,7198,53289991641
1263,730,7198,53289991641
1263,1098,7198,53289991641
570,705,7199,32666463803
570,1123,7199,32666463803
705,570,7199,32666463803
705,1258,7199,32666463803
1123,570,7199,32666463803
1123,1258,7199,32666463803
1258,705,7199,32666463803
1258,1123,7199,32666463803
