orbit_index,X,Y,orbit_size,weight_numerator,weight_denominator,orbit_mass_numerator
0,250,400,8,16257963552,1000000000000,130063708416
5,300,400,8,94118889818,1000000000000,752951118544
8,350,400,8,145518809564,1000000000000,1164150476512
16,400,400,4,148964427354,1000000000000,595857709416
36,750,750,4,9400180572,1000000000000,37600722288
37,750,800,8,12260377864,1000000000000,98083022912
56,225,400,8,24303313828,1000000000000,194426510624
61,775,800,8,7844634677,1000000000000,62757077416
62,400,775,8,14585333557,1000000000000,116682668456
63,375,800,8,86341160342,1000000000000,690729282736
99,400,575,8,20105012540,1000000000000,160840100320
2006,400,790,8,59177649223,1000000000000,473421193784
4010,680,685,8,42986590872,1000000000000,343892726976
5002,630,725,8,10654653069,1000000000000,85237224552
5008,400,660,8,28785962214,1000000000000,230287697712
6002,390,400,8,86341160342,1000000000000,690729282736
6005,395,760,8,24303313828,1000000000000,194426510624
6010,365,655,8,122871399432,1000000000000,982971195456
6018,730,800,8,3228175891,1000000000000,25825407128
6023,715,905,8,28785962214,1000000000000,230287697712
6031,275,400,8,59177649223,1000000000000,473421193784
6033,285,795,8,25641417824,1000000000000,205131342592
6037,320,770,8,65617274704,1000000000000,524938197632
6038,325,790,8,36095355292,1000000000000,288762842336
7023,400,765,8,12260377864,1000000000000,98083022912
7025,360,635,8,122871399432,1000000000000,982971195456
7026,400,630,8,40427466979,1000000000000,323419735832
7027,775,785,8,24169503428,1000000000000,193356027424
7035,235,800,8,24303313828,1000000000000,194426510624
7058,640,720,8,25875586023,1000000000000,207004688184
7076,675,775,8,42501528173,1000000000000,340012225384
7077,335,565,8,36831312490,1000000000000,294650499920
7080,770,910,8,14970038456,1000000000000,119760307648
7083,370,670,8,28785962214,1000000000000,230287697712
7096,765,890,8,43689095469,1000000000000,349512763752
7107,690,765,8,33302063201,1000000000000,266416505608
7113,385,790,8,65617274704,1000000000000,524938197632
7118,755,780,8,28785962214,1000000000000,230287697712
7130,395,740,8,31428717606,1000000000000,251429740848
7131,140,790,8,16257963552,1000000000000,130063708416
7132,385,710,8,40427466979,1000000000000,323419735832
7138,515,730,8,16257963552,1000000000000,130063708416
7139,370,680,8,36831312490,1000000000000,294650499920
7150,395,890,8,36530239091,1000000000000,292241912728
7164,695,790,8,46014051163,1000000000000,368112409304
7170,630,760,8,12678535362,1000000000000,101428282896
7171,575,760,8,46214766762,1000000000000,369718134096
7172,335,800,8,60833552918,1000000000000,486668423344
7176,595,745,8,23232830631,1000000000000,185862645048
7190,660,760,8,33536231400,1000000000000,268289851200
7198,565,730,8,53289991641,1000000000000,426319933128
7199,570,705,8,32666463803,1000000000000,261331710424
